id	Kanji	JLPT-test	"Name of Radical"	"Translation of On"	"Translation of Kun"
1886	本	5	"Ki, Kihen"	"book; this, the same, the present, the current; main; true; real; regular, normal; counter for long things "	"beginning, origin; foundation, basis, source; cause; root (of a tree); (raw) material, base; capital; principal; cost; forebears; formerly"
1895	毎	5	"Haha, Hahanokan"	"each, every, at an interval of, whenever. Apiece"	-
1896	妹	4	"Onna, Onnahen"	"younger sister"	"younger sister"
1906	万	5	Ichi	"ten thousand; myriad. fully; if by any chance"	-
1911	味	4	"Kuchi, Kuchihen"	"taste, flavor, dash; touch, tinge; counter for foods and drinks  "	"taste; appreciate, experience. flavor, aroma; zest; experience; tinge "
1926	名	5	"Kuchi, Kuchihen"	"distinguished, noted, wise, name"	"name; fame, reputation; pretext"
1928	明	4	"Nichi, Nichihen"	"clearness, shining; eyesight; discernment. next (week), tomorrow (morning) "	"open; empty, vacate; leave (a space); clear (the table); make (a hole); reserve (a seat), stay away from; dawn; end, expire, be over; open, begin. be opened; start, commence; become vacant, become empty, be disengaged, be free; expire, be over. spend, pass the time; reveal, divulge. light, lamp; vindication. bright, cheerful, sunny; clear, clean; conversant with. plain, distinct, definite, obvious, indisputable, evident. next, following "
1947	目	4	"Me, Mehen"	"item, division, class; order (of plants or animals)"	"eye; look, gaze; notice, attention; viewpoint; discrimination, insight; experience; treatment; care, favor, pity; texture, weave; mesh; grain, square; sight, vision; tooth (of a saw); weight; momme (0.1325 oz.); eye (of a needle) "
1951	問	4	"Kuchi, Kuchihen"	"question, problem, subject, discussion "	"ask, question, inquire; accuse. Inquiry"
1953	夜	4	Yuube	night	"evening, night, nighttime; at night "
1954	野	4	"Sato, Satohen"	"field, plain; the Opposition; civilian life; rustic"	"field, plain"
1971	友	5	Mata	"friend, companion, pal"	"friend, companion, pal"
1972	有	4	"Tsuki, Tsukihen"	"possession. being, existence "	"there is, have, exist; occur; be located, be contained in; (it) measures; happen; be found; be held; consist of "
